 voltage current power speed energy distance temperature batteryOK batteryVoltage ms
0 22.29 2.01 44.92 3.6 1251.8 62.1 0.0 1 0.0 87427
1 22.3 2.0 44.48 3.61 1257.14 62.66 0.0 1 0.0 87547
2 22.3 1.87 41.65 3.63 1262.13 63.04 0.0 1 0.0 87668
3 22.32 1.74 38.83 3.64 1266.79 63.41 0.0 1 0.0 87788
4 22.33 1.56 34.84 3.64 1270.98 63.97 0.0 1 0.0 87908
5 22.35 1.42 31.84 3.66 1274.8 64.34 0.0 1 0.0 88028
6 22.35 1.42 31.84 3.66 1278.62 64.72 0.0 1 0.0 88148
7 22.35 1.38 30.85 3.67 1282.41 65.28 0.0 1 0.0 88271
8 22.37 1.18 26.45 3.68 1285.98 65.83 0.0 1 0.0 88405
9 22.37 1.23 27.63 3.68 1289.3 66.21 0.0 1 0.0 88525
10 22.42 0.57 12.72 3.68 1290.83 66.58 0.0 1 0.0 88645
11 22.43 0.59 13.35 3.67 1292.67 67.14 0.0 1 0.0 88784
12 22.43 0.63 14.19 3.67 1294.37 67.51 0.0 1 0.0 88904
13 22.43 0.64 14.47 3.67 1296.11 68.07 0.0 1 0.0 89024
14 22.43 0.77 17.27 3.67 1298.18 68.45 0.0 1 0.0 89144
15 22.43 0.77 17.27 3.68 1300.25 69.0 0.0 1 0.0 89264
16 22.44 0.6 13.58 3.67 1301.92 69.38 0.0 1 0.0 89387
17 22.44 0.6 13.47 3.67 1303.54 69.75 0.0 1 0.0 89507
18 22.44 0.67 15.15 3.66 1305.37 70.31 0.0 1 0.0 89627
19 22.44 0.6 13.58 3.67 1307.34 70.68 0.0 1 0.0 89772
20 22.44 0.71 15.93 3.66 1309.25 71.24 0.0 1 0.0 89892
21 22.45 0.56 12.68 3.65 1310.77 71.62 0.0 1 0.0 90013
22 22.45 0.62 14.03 3.66 1312.46 72.18 0.0 1 0.0 90133
23 22.45 0.62 14.03 3.66 1314.14 72.55 0.0 1 0.0 90253
24 22.45 0.66 14.87 3.65 1315.92 72.92 0.0 1 0.0 90373
25 22.45 0.61 13.64 3.65 1317.6 73.48 0.0 1 0.0 90496
26 22.44 0.74 16.72 3.65 1319.61 73.85 0.0 1 0.0 90616
27 22.46 0.55 12.41 3.64 1321.1 74.23 0.0 1 0.0 90736
28 22.45 0.62 13.98 3.64 1322.79 74.79 0.0 1 0.0 90856
29 22.45 0.66 14.87 3.64 1324.57 75.16 0.0 1 0.0 90976
30 22.45 0.66 14.87 3.63 1326.36 75.53 0.0 1 0.0 91096
31 22.46 0.58 13.02 3.63 1327.92 76.09 0.0 1 0.0 91216
32 22.46 0.62 13.98 3.62 1329.81 76.46 0.0 1 0.0 91351
33 22.46 0.56 12.69 3.62 1331.33 76.84 0.0 1 0.0 91471
34 22.46 0.64 14.43 3.6 1333.06 77.4 0.0 1 0.0 91592
35 22.46 0.66 14.94 3.61 1334.84 77.77 0.0 1 0.0 91711
36 22.47 0.54 12.24 3.6 1336.31 78.14 0.0 1 0.0 91831
37 22.46 0.67 15.05 3.59 1338.11 78.7 0.0 1 0.0 91951
38 22.46 0.67 15.05 3.59 1339.92 79.08 0.0 1 0.0 92071
39 22.45 0.79 17.74 3.59 1342.05 79.45 0.0 1 0.0 92191
40 22.45 0.75 16.89 3.58 1344.09 79.82 0.0 1 0.0 92311
41 22.44 1.01 22.72 3.58 1346.82 80.38 0.0 1 0.0 92431
42 22.36 2.11 47.23 3.59 1352.49 80.75 0.0 1 0.0 92551
43 22.33 2.32 51.91 3.58 1358.72 81.13 0.0 1 0.0 92671
44 22.32 2.25 50.23 3.59 1364.89 81.69 0.0 1 0.0 92794
45 22.32 2.25 50.23 3.58 1370.92 82.06 0.0 1 0.0 92915
46 22.34 1.95 43.56 3.59 1376.15 82.43 0.0 1 0.0 93035
47 22.32 2.25 50.17 3.59 1382.17 82.99 0.0 1 0.0 93155
